Name,Role,Price,Country,Team
NavdeepSaini,Bowler,26000000.0,India,RR
KuldeepSen,Bowler,2000000.0,India,RR
ObedMcCoy,Bowler,7500000.0,West Indies,RR
TejasBaroka,Bowler,2000000.0,India,RR
KCKariappa,Bowler,3000000.0,India,RR
YuzvendraChahal,Bowler,65000000.0,India,RR
PrasidhKrishna,Bowler,100000000.0,India,RR
TrentBoult,Bowler,80000000.0,New Zealand,RR
AnunaySingh,All-rounder,2000000.0,India,RR
JamesNeesham,All-rounder,15000000.0,New Zealand,RR
DarylMitchell,All-rounder,7500000.0,New Zealand,RR
RiyanParag,All-rounder,38000000.0,India,RR
RavichandranAshwin,All-rounder,50000000.0,India,RR
ViratKohli,Batsman,150000000.0,India,RCB
SuyashPrabhudessai,Batsman,3000000.0,India,RCB
FafduPlessis,Batsman,70000000.0,South Africa,RCB
DineshKarthik,WK-Batsman,55000000.0,India,RCB
AnujRawat,WK-Batsman,34000000.0,India,RCB
FinnAllen,WK-Batsman,8000000.0,New Zealand,RCB
LuvnithSisodia,WK-Batsman,2000000.0,India,RCB
MohammedSiraj,Bowler,70000000.0,India,RCB
KarnSharma,Bowler,5000000.0,India,RCB
JasonBehrendorff,Bowler,7500000.0,Australia,RCB
SiddarthKaul,Bowler,7500000.0,India,RCB
ChamaMilind,Bowler,2500000.0,India,RCB
JoshHazlewood,Bowler,77500000.0,Australia,RCB
HarshalPatel,Bowler,107500000.0,India,RCB
AkashDeep,Bowler,2000000.0,India,RCB
GlennMaxwell,All-rounder,110000000.0,Australia,RCB
DavidWilley,All-rounder,20000000.0,England,RCB
MahipalLomror,All-rounder,9500000.0,India,RCB
SherfaneRutherford,All-rounder,10000000.0,West Indies,RCB
AneeshwarGautam,All-rounder,2000000.0,India,RCB
ShahbazAhmed,All-rounder,24000000.0,India,RCB
WaninduHasaranga,All-rounder,107500000.0,Sri Lanka,RCB
KaneWilliamson,Batsman,140000000.0,New Zealand,SRH
AidenMarkram,Batsman,26000000.0,South Africa,SRH
ShashankSingh,Batsman,2000000.0,India,SRH
RSamarth,Batsman,2000000.0,India,SRH
RahulTripathi,Batsman,85000000.0,India,SRH
PriyamGarg,Batsman,2000000.0,India,SRH
GlennPhillips,WK-Batsman,15000000.0,New Zealand,SRH
VishnuVinod,WK-Batsman,5000000.0,India,SRH
NicholasPooran,WK-Batsman,107500000.0,West Indies,SRH
UmranMalik,Bowler,40000000.0,India,SRH
SaurabhDubey,Bowler,2000000.0,India,SRH
RomarioShepherd,Bowler,77500000.0,West Indies,SRH
FazalHaqFarooqi,Bowler,5000000.0,Afghanistan,SRH
JSuchith,Bowler,2000000.0,India,SRH
ShreyasGopal,Bowler,7500000.0,India,SRH
KartikTyagi,Bowler,40000000.0,India,SRH
TNatarajan,Bowler,40000000.0,India,SRH
BhuvneshwarKumar,Bowler,42000000.0,India,SRH
AbdulSamad,All-rounder,40000000.0,India,SRH
MarcoJansen,All-rounder,42000000.0,South Africa,SRH
SeanAbbott,All-rounder,24000000.0,Australia,SRH
AbhishekSharma,All-rounder,65000000.0,India,SRH
WashingtonSundar,All-rounder,87500000.0,India,SRH
