date,account,region,ret_value
2022-03-22,SB-1004,SA,0.31422114
2022-03-22,SB-1005,SA,0.7979622
2022-03-23,SB-1001,SA,0.11675614
2022-03-23,SB-1002,SA,0.26553512
2022-03-23,SB-1003,SA,0.5090451
2022-03-23,SB-1004,SA,0.8346938
2022-03-23,SB-1005,SA,0.58662313
2022-03-24,SB-1001,SA,0.27069885
2022-03-24,SB-1002,SA,0.94176984
2022-03-24,SB-1003,SA,0.61901057
2022-03-24,SB-1004,SA,0.14160216
2022-03-24,SB-1005,SA,0.39642328
2022-03-25,SB-1001,SA,0.9469984
2022-03-25,SB-1002,SA,0.70480615
2022-03-25,SB-1003,SA,0.47119397
2022-03-25,SB-1004,SA,0.47004092
2022-03-25,SB-1005,SA,0.10729921
2022-03-26,SB-1001,SA,0.18969226
2022-03-26,SB-1002,SA,0.74271643
2022-03-26,SB-1003,SA,0.42267865
2022-03-26,SB-1004,SA,0.4451849
2022-03-26,SB-1005,SA,0.6734551
2022-03-27,SB-1001,SA,0.8070449
2022-03-27,SB-1002,SA,0.28017563
2022-03-27,SB-1003,SA,0.18015367
2022-03-27,SB-1004,SA,0.5922467
2022-03-27,SB-1005,SA,0.19206434
2022-03-28,SB-1001,SA,0.2973448
2022-03-28,SB-1002,SA,0.029307485
2022-03-28,SB-1003,SA,0.75427383
2022-03-28,SB-1004,SA,0.20459545
2022-03-28,SB-1005,SA,0.35234004
2022-03-29,SB-1001,SA,0.032387197
2022-03-29,SB-1002,SA,0.7926052
2022-03-29,SB-1003,SA,0.64637184
2022-03-29,SB-1004,SA,0.51776034
2022-03-29,SB-1005,SA,0.9776594
2022-03-30,SB-1001,SA,0.6160446
2022-03-30,SB-1002,SA,0.012700498
2022-03-30,SB-1003,SA,0.27366275
2022-03-30,SB-1004,SA,0.49248183
2022-03-30,SB-1005,SA,0.6310966
2022-03-31,SB-1001,SA,0.14747643
2022-03-31,SB-1002,SA,0.78304976
2022-03-31,SB-1003,SA,0.29174554
2022-03-31,SB-1004,SA,0.07442355
2022-03-31,SB-1005,SA,0.8171695
2022-04-01,SB-1001,SA,0.9504556
2022-04-01,SB-1002,SA,0.43368304
2022-04-01,SB-1003,SA,0.46364796
2022-04-01,SB-1004,SA,0.55161184
2022-04-01,SB-1005,SA,0.20576191
2022-04-02,SB-1001,SA,0.6113034
2022-04-02,SB-1002,SA,0.17010838
2022-04-02,SB-1003,SA,0.27010465
2022-04-02,SB-1004,SA,0.03353542
2022-04-02,SB-1005,SA,0.06789416
2022-04-03,SB-1001,SA,0.82206804
2022-04-03,SB-1002,SA,0.4979964
2022-04-03,SB-1003,SA,0.3027922
2022-04-03,SB-1004,SA,0.8258526
2022-04-03,SB-1005,SA,0.9754013
2022-04-04,SB-1001,SA,0.6211575
2022-04-04,SB-1002,SA,0.3838287
2022-04-04,SB-1003,SA,0.23464578
2022-04-04,SB-1004,SA,0.1928404
2022-04-04,SB-1005,SA,0.6126099
2022-04-05,SB-1001,SA,0.6980758
2022-04-05,SB-1002,SA,0.3817578
2022-04-05,SB-1003,SA,0.7432554
2022-04-05,SB-1004,SA,0.92918026
2022-04-05,SB-1005,SA,0.6930214
2022-04-06,SB-1001,SA,0.2877559
2022-04-06,SB-1002,SA,0.55421114
2022-04-06,SB-1003,SA,0.16078073
2022-04-06,SB-1004,SA,0.7337826
2022-04-06,SB-1005,SA,0.7632229
2022-04-07,SB-1001,SA,0.3912378
2022-04-07,SB-1002,SA,0.5232744
2022-04-07,SB-1003,SA,0.4393087
2022-04-07,SB-1004,SA,0.31500274
2022-04-07,SB-1005,SA,0.3313126
2022-04-08,SB-1001,SA,0.46920586
2022-04-08,SB-1002,SA,0.5926535
2022-04-08,SB-1003,SA,0.41178083
2022-04-08,SB-1004,SA,0.18923324
2022-04-08,SB-1005,SA,0.7203472
2022-04-09,SB-1001,SA,0.15740919
2022-04-09,SB-1002,SA,0.6535145
2022-04-09,SB-1003,SA,0.41040957
2022-04-09,SB-1004,SA,0.359802
2022-04-09,SB-1005,SA,0.8082042
2022-04-10,SB-1001,SA,0.74731314
2022-04-10,SB-1002,SA,0.6279428
2022-04-10,SB-1003,SA,0.072719276
2022-04-10,SB-1004,SA,0.18097109
2022-04-10,SB-1005,SA,0.91431695
